WURCS=2.0/4,4,3/[u2122h][a2112h-1b_1-5][Aad21122h-2a_2-6_5*NCC/3=O][Aad21122h-2a_2-6_5*NCCO/3=O]/1-2-3-4/a4-b1_b3-c2_c8-d2	C(O)C(=O)N[C@@H]4[C@@H](O)C[C@](O[C@H]4[C@H](O)[C@H](O)CO)(O[C@H](CO)[C@H]([C@H]3[C@@H]([C@H](C[C@](O3)(O[C@@H]2[C@@H](O)[C@@H](O[C@H](CO)[C@@H]2O)O[C@H]1[C@@H]([C@@H](O)C(O[C@@H]1CO)O)O)C(O)=O)O)NC(=O)C)O)C(=O)O
WURCS=2.0/7,12,11/[u2122h_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5][a2112h-1b_1-5][Aad21122h-2a_2-6_5*NCCO/3=O][a1221m-1a_1-5]/1-2-3-4-2-5-6-4-2-7-5-6/a4-b1_b4-c1_c3-d1_c6-h1_d2-e1_e4-f1_f3-g2_h2-i1_i3-j1_i4-k1_k3-l2	C(O)C(=O)N[C@H]1[C@H]([C@@H]([C@H](O)CO)O)O[C@](C(O)=O)(O[C@H]%12[C@H]([C@@H](CO)O[C@H]([C@@H]%12O)O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]%11[C@H](O[C@@H]([C@H]([C@@H]%11O)O)CO)O[C@H]5[C@H](O)[C@@H](CO[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]6O[C@@H]8O[C@@H]([C@@H](O[C@H]9[C@H](O)[C@@H](O[C@]%10(C(=O)O)C[C@H](O)[C@H]([C@@H](O%10)[C@H](O)[C@@H](CO)O)NC(=O)CO)[C@@H](O)[C@H](O9)CO)[C@@H]([C@H]8NC(=O)C)O[C@@H]7O[C@@H](C)[C@H]([C@H]([C@@H]7O)O)O)CO)O[C@H]([C@H]5O)O[C@H]3[C@H](O)[C@H]([C@H](O[C@@H]4[C@H](OC([C@@H]([C@H]4O)NC(=O)C)O)CO)O[C@@H]3CO)NC(=O)C)[C@@H]([C@H]2O)NC(C)=O)O)C[C@@H]1O
WURCS=2.0/6,9,8/[u2122h_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5][a2112h-1b_1-5][Aad21122h-2a_2-6_5*NCCO/3=O]/1-2-3-4-2-5-6-4-2/a4-b1_b4-c1_c3-d1_c6-h1_d2-e1_e4-f1_f6-g2_h2-i1	C(O)C(N[C@H]1[C@H]([C@@H]([C@H](O)CO)O)O[C@@](OC[C@H]9O[C@H]([C@@H]([C@H]([C@H]9O)O)O)O[C@H]2[C@@H]([C@H]([C@H](O[C@@H]3[C@@H](O[C@H]6[C@@H]([C@H](O[C@@H](O[C@@H]7[C@H](O[C@@H](O[C@H]8[C@H](O)[C@@H](NC(C)=O)C(O)O[C@@H]8CO)[C@H](NC(C)=O)[C@H]7O)CO)[C@H]6O)CO[C@H]5O[C@H](CO)[C@H]([C@@H]([C@@H]5O[C@@H]4O[C@H](CO)[C@@H](O)[C@@H]([C@H]4NC(C)=O)O)O)O)O)O[C@@H]([C@@H](O)[C@@H]3O)CO)O[C@@H]2CO)NC(=O)C)O)(C(=O)O)C[C@@H]1O)=O
WURCS=2.0/7,9,8/[u2122h_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5][a2112h-1b_1-5][Aad21122h-2a_2-6_5*NCCO/3=O][a1221m-1a_1-5]/1-2-3-4-2-5-6-4-7/a4-b1_a6-i1_b4-c1_c3-d1_c6-h1_d2-e1_e4-f1_f6-g2	C(O)C(N[C@H]1[C@H]([C@@H]([C@H](O)CO)O)O[C@@](OC[C@H]9O[C@H]([C@@H]([C@H]([C@H]9O)O)O)O[C@H]2[C@@H]([C@H]([C@H](O[C@@H]3[C@@H](O[C@H]8[C@@H]([C@H](O[C@H]([C@H]8O)O[C@H]7[C@H](O)[C@@H](NC(C)=O)[C@@H](O[C@@H]7CO)O[C@H]6[C@@H]([C@H](C(O[C@@H]6CO[C@H]5[C@@H](O)[C@H](O)[C@H](O)[C@@H](O5)C)O)NC(=O)C)O)CO[C@H]4O[C@H](CO)[C@@H](O)[C@@H]([C@@H]4O)O)O)O[C@@H]([C@@H](O)[C@@H]3O)CO)O[C@@H]2CO)NC(=O)C)O)(C(=O)O)C[C@@H]1O)=O
WURCS=2.0/4,4,3/[u2122h][a2112h-1b_1-5][Aad21122h-2a_2-6_5*NCCO/3=O][Aad21122h-2a_2-6_5*NCC/3=O]/1-2-3-4/a4-b1_b3-c2_c8-d2	C(O)C(N[C@H]3[C@H]([C@@H]([C@@H](CO)O[C@]4(C(=O)O)C[C@@H]([C@H]([C@H]([C@@H]([C@H](O)CO)O)O4)NC(=O)C)O)O)O[C@@](C[C@@H]3O)(O[C@@H]2[C@@H](O)[C@@H](O[C@H](CO)[C@@H]2O)O[C@H]1[C@@H]([C@@H](O)C(O[C@@H]1CO)O)O)C(O)=O)=O
WURCS=2.0/1,1,0/[hU112h]/1/	C(O)C1(O)[C@@H](O)[C@@H](O)[C@H](O)CO1
WURCS=2.0/1,1,0/[hU121h]/1/	C(O)C1(O)[C@@H](O)[C@H](O)[C@@H](O)CO1
WURCS=2.0/6,10,9/[u2122h_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5][a2112h-1b_1-5][Aad21122h-2a_2-6_5*NCC/3=O]/1-2-3-4-2-5-6-4-2-5/a4-b1_b4-c1_c3-d1_c6-h1_d2-e1_e4-f1_f3-g2_h2-i1_i4-j1	C(O)[C@@H]%10[C@@H]([C@@H]([C@H]([C@@H](O%10)O[C@H]9[C@@H]([C@@H](NC(C)=O)[C@@H](O[C@@H]9CO)O[C@@H]8[C@H](O[C@@H]([C@@H](O)[C@@H]8O)CO)O[C@@H]2[C@H](O)[C@H](O[C@H]6[C@@H]([C@H]([C@H](O[C@@H]7[C@@H](CO)OC([C@H](NC(C)=O)[C@H]7O)O)O[C@@H]6CO)NC(=O)C)O)O[C@H](CO[C@@H]5[C@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O[C@H]4[C@@H]([C@@H](O)[C@@H]([C@@H](CO)O4)O[C@H]3[C@H](O)[C@H]([C@@H](O)[C@H](O3)CO)O)NC(C)=O)[C@H]2O)O)O)O[C@]1(O[C@H]([C@@H]([C@H](C1)O)NC(C)=O)[C@@H]([C@H](O)CO)O)C(O)=O)O
WURCS=2.0/7,11,10/[u2122h_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5][a2112h-1b_1-5][Aad21122h-2a_2-6_5*NCC/3=O][a1221m-1a_1-5]/1-2-3-4-2-5-6-4-2-5-7/a4-b1_a6-k1_b4-c1_c3-d1_c6-h1_d2-e1_e4-f1_f3-g2_h2-i1_i4-j1	C(O)[C@@H]%11[C@@H]([C@@H]([C@H]([C@@H](O%11)O[C@H]%10[C@@H]([C@@H](NC(C)=O)[C@@H](O[C@@H]%10CO)O[C@@H]9[C@H](O[C@@H]([C@@H](O)[C@@H]9O)CO)O[C@@H]2[C@H](O)[C@H](O[C@@H]6[C@@H](CO)O[C@@H](O[C@@H]8[C@H](OC([C@@H]([C@H]8O)NC(C)=O)O)CO[C@H]7[C@H]([C@H](O)[C@H](O)[C@H](C)O7)O)[C@H](NC(C)=O)[C@H]6O)O[C@H](CO[C@@H]5[C@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O[C@H]4[C@@H]([C@@H](O)[C@@H]([C@@H](CO)O4)O[C@H]3[C@H](O)[C@H]([C@@H](O)[C@H](O3)CO)O)NC(C)=O)[C@H]2O)O)O)O[C@]1(O[C@H]([C@@H]([C@H](C1)O)NC(C)=O)[C@@H]([C@H](O)CO)O)C(O)=O)O
WURCS=2.0/6,11,10/[u2122h_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O][a1122h-1b_1-5][a1122h-1a_1-5][a2112h-1b_1-5][Aad21122h-2a_2-6_5*NCC/3=O]/1-2-3-4-2-5-6-4-2-5-6/a4-b1_b4-c1_c3-d1_c6-h1_d2-e1_e4-f1_f3-g2_h2-i1_i4-j1_j6-k2	C(O)[C@@H]%11[C@@H]([C@@H]([C@H]([C@@H](O%11)O[C@H]%10[C@@H]([C@@H](NC(C)=O)[C@@H](O[C@@H]%10CO)O[C@@H]9[C@H](O[C@@H]([C@@H](O)[C@@H]9O)CO)O[C@@H]2[C@H](O)[C@H](O[C@H]7[C@@H]([C@H]([C@H](O[C@@H]8[C@@H](CO)OC([C@H](NC(C)=O)[C@H]8O)O)O[C@@H]7CO)NC(=O)C)O)O[C@H](CO[C@@H]6[C@H]([C@H]([C@@H]([C@@H](CO)O6)O)O)O[C@H]3[C@H](NC(C)=O)[C@H]([C@H](O[C@H]4[C@H](O)[C@@H](O)[C@H]([C@@H](CO[C@]5(C(=O)O)C[C@H](O)[C@H]([C@@H](O5)[C@@H]([C@@H](CO)O)O)NC(C)=O)O4)O)[C@H](O3)CO)O)[C@H]2O)O)O)O[C@]1(O[C@H]([C@@H]([C@H](C1)O)NC(C)=O)[C@@H]([C@H](O)CO)O)C(O)=O)O
